platform,campaign,spend,impressions,clicks,conversions,revenue
Meta,Prospecting - Lookalike 1%,1250.00,182000,3640,91,4550.00
Meta,Prospecting - Interest Stack,980.00,145000,2465,52,2340.00
Meta,Retargeting - Cart Abandon,540.00,41000,1968,148,7400.00
Meta,Retargeting - Site Visitors 30d,610.00,52000,1820,94,3760.00
Instagram,Reels - UGC Creative A,875.00,210000,4830,103,5150.00
Instagram,Reels - UGC Creative B,910.00,198000,3960,68,3060.00
Instagram,Stories - Carousel Offer,430.00,68000,1360,41,1845.00
TikTok,Spark Ads - Founder Story,1100.00,265000,6625,112,5040.00
TikTok,Spark Ads - Product Demo,860.00,190000,4560,77,3465.00
TikTok,In-Feed - Discount Push,700.00,120000,3000,35,1225.00
